dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,wind_speed,wind_deg,main,description,visibility,snow.1h,wind_gust
1732986000,1733020209,1733046488,-7.88,-13.96,1022,88,-9.34,0,4,110,Clear,clear sky,10000.0,,
1732989600,1733020209,1733046488,-8.17,-13.31,1022,91,-9.24,0,3,110,Clear,clear sky,10000.0,,
1732993200,1733020209,1733046488,-8.18,-13.33,1021,89,-9.5,0,3,120,Clear,clear sky,10000.0,,
1732996800,1733020209,1733046488,-8.47,-13.67,1021,89,-9.79,0,3,120,Clear,clear sky,10000.0,,
1733000400,1733020209,1733046488,-9.42,-13.43,1021,90,-10.61,0,2,130,Clear,clear sky,10000.0,,
1733004000,1733020209,1733046488,-10.73,-14.95,1020,92,-11.66,0,2,110,Clear,clear sky,10000.0,,
1733007600,1733020209,1733046488,-11.35,-15.68,1021,92,-12.28,0,2,110,Clear,clear sky,10000.0,,
1733011200,1733020209,1733046488,-10.22,-10.22,1021,89,-11.52,20,1,0,Clouds,few clouds,10000.0,,
1733014800,1733020209,1733046488,-10.43,-10.43,1020,87,-11.98,40,1,0,Clouds,scattered clouds,10000.0,,
1733018400,1733020209,1733046488,-10.99,-15.26,1020,87,-12.54,40,2,70,Clouds,scattered clouds,10000.0,,
1733022000,1733020209,1733046488,-10.22,-14.36,1020,88,-11.65,40,2,80,Clouds,scattered clouds,10000.0,,
1733025600,1733020209,1733046488,-9.32,-9.32,1019,88,-10.76,75,0,0,Clouds,broken clouds,10000.0,,
1733029200,1733020209,1733046488,-8.41,-8.41,1019,87,-9.99,40,1,0,Clouds,scattered clouds,10000.0,,
1733032800,1733020209,1733046488,-7.3,-7.3,1019,87,-8.89,75,0,0,Clouds,broken clouds,10000.0,,
1733036400,1733020209,1733046488,-5.82,-5.82,1019,86,-7.56,40,0,0,Clouds,scattered clouds,10000.0,,
1733040000,1733020209,1733046488,-5.2,-5.2,1018,87,-6.82,75,1,210,Snow,light snow,6000.0,,
1733043600,1733020209,1733046488,-6.86,-10.0,1019,89,-8.2,100,1.73,197,Clouds,overcast clouds,,,
1733047200,1733020209,1733046488,-8.28,-11.97,1018,87,-9.86,100,1.92,209,Clouds,overcast clouds,,,
