Category;Managed brands
Midscale;Prince
Luxury;Radisson Collection
Premium;Radisson Blu
;Radisson
;Park Plaza
;Radisson Red
Midscale;Park Inn by Radisson
;Country Inn & Suites
;prizeotel
Premium;Hotel RL
Midscale;Red Lion Hotels
;Red Lion Inn & Suites
;Settle Inn Extended Stay
Budget;Signature Inn
;GuestHouse
;Americas Best Value Inn
;Canadas Best Value Inn
;Country Hearth Inn & Suites
;Knights Inn
Budget;Red Planet
;
;
;
Midscale;Red Roof PLUS+
;The Red Collection
Budget;Red Roof Inn
;HomeTowne Studios by Red Roof
Uncategorized;RIU Holiday
;RIU Plaza
;
;
Luxury;Rosewood Hotels & Resorts
Premium;New World Hotels
;Pentahotels
;KHOS
Premium;Santiburi
;SAii
;
;
;
Midscale;
Midscale;Scandic
;
;
;
;
;
;
;
Luxury;Shangri-La Hotels
Premium;Kerry Hotels
;Traders Hotels
;Hotel Jen
Midscale;Shilo Inns
Luxury;Sonava Fushi
;Soneva Jani
;Soneva Kiri
;Soneva Secret
;Toyoko Inn
;
;
;
;Travelodge
;
;
;
;Treebo
;Warwick Hotels and Resorts
;
Midscale;Premier Inn
Budget;hub by Premier Inn
Premium;Wyndham Grand
;Dolce
;Wyndham
Midscale;TRYP
;Esplendor
;Dazzler
;Trademark
;La Quinta
;Wingate
;Wyndham Garden
;AmericInn
;Ramada
;Baymont
Budget;Microtel
;Days Inn
;Super 8
;Howard Johnson's
;Travelodge
Uncategorized;Hawthorn Suites
Premium;Baglioni Hotels
;
;
;
