"date";"periodicity";"title";"m1";"m2";"value";"dim"
"2022-01-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2022-01-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2022-01-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2022-02-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";1.18;"% годовых"
"2022-02-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2022-02-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2022-02-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2022-03-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";1.24;"% годовых"
"2022-03-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2022-03-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2022-03-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2022-04-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";0.62;"% годовых"
"2022-04-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2022-04-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";1.8;"% годовых"
"2022-04-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2022-05-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";0.42;"% годовых"
"2022-05-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2022-05-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2022-05-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2022-06-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";0.27;"% годовых"
"2022-06-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2022-06-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2022-06-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2022-07-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";1.53;"% годовых"
"2022-07-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2022-07-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2022-07-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2022-08-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";"";"% годовых"
"2022-08-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2022-08-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2022-08-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2022-09-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";"";"% годовых"
"2022-09-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2022-09-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2022-09-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2022-10-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";"";"% годовых"
"2022-10-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2022-10-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2022-10-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2022-11-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";"";"% годовых"
"2022-11-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2022-11-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2022-11-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2022-12-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";"";"% годовых"
"2022-12-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
