dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,wind_speed,wind_deg,main,description,visibility,snow.1h,wind_gust
1738342800,1738376240,1738406990,-19.54,-19.54,1031,77,-22.24,40,0,0,Snow,light snow,8000.0,,
1738346400,1738376240,1738406990,-18.74,-18.74,1031,80,-21.07,40,0,0,Snow,light snow,9000.0,,
1738350000,1738376240,1738406990,-18.83,-18.83,1031,80,-21.15,40,0,0,Snow,light snow,9000.0,,
1738353600,1738376240,1738406990,-20.19,-20.19,1032,84,-21.99,40,0,0,Snow,light snow,10000.0,,
1738357200,1738376240,1738406990,-19.87,-19.87,1032,77,-22.57,40,0,0,Snow,light snow,8000.0,,
1738360800,1738376240,1738406990,-18.37,-23.85,1032,82,-20.45,40,2,210,Snow,light snow,6000.0,,
1738364400,1738376240,1738406990,-20.03,-25.79,1032,78,-22.59,40,2,230,Snow,light snow,9000.0,,
1738368000,1738376240,1738406990,-18.73,-25.73,1033,82,-20.8,75,3,230,Snow,light snow,5000.0,,
1738371600,1738376240,1738406990,-18.73,-24.27,1033,82,-20.8,40,2,230,Snow,light shower snow,9000.0,,
1738375200,1738376240,1738406990,-18.06,-25.06,1034,82,-20.14,40,3,230,Snow,light shower snow,9000.0,,
1738378800,1738376240,1738406990,-17.92,-24.92,1034,82,-20.0,40,4,230,Snow,light shower snow,10000.0,,
1738382400,1738376240,1738406990,-17.24,-24.24,1034,80,-19.59,40,5,240,Snow,light shower snow,10000.0,,
1738386000,1738376240,1738406990,-17.26,-24.26,1034,80,-19.61,75,4,250,Snow,light shower snow,2700.0,,
1738389600,1738376240,1738406990,-16.84,-23.84,1035,80,-19.2,75,4,230,Snow,light shower snow,10000.0,,
1738393200,1738376240,1738406990,-16.29,-23.29,1035,80,-18.66,40,5,220,Snow,light shower snow,10000.0,,
1738396800,1738376240,1738406990,-15.73,-22.73,1035,80,-18.11,40,5,220,Snow,light snow,10000.0,,
1738400400,1738376240,1738406990,-14.9,-21.9,1035,78,-17.57,75,5,230,Snow,light shower snow,10000.0,,
1738404000,1738376240,1738406990,-15.74,-22.74,1035,81,-17.99,75,4,220,Snow,light shower snow,9000.0,,
